provider,ntd_id,voms_dr,voms,upt_dr,upt,fares_dr,fares,contact_city,service_county,url,gtfs,gtfs_rt_service_alerts,gtfs_rt_trip_updates,gtfs_rt_vehicle_locations
Tahoe Transportation,,,,,,,,"Stateline, NV",Douglas (NV),http://tahoetransportation.org/blog/category/bluego/,,,,
California City Dial-A-Ride,9R02-91111,3,0,15263,0,21878,0,California City,Kern,https://www.californiacity-ca.gov/CC/index.php/transportation,,,,
Greyhound,,,,,,,,Intercity,"San Bernardino, Kern, Butte, Stanislaus, Fresno, Santa Clara, Alameda, Riverside, San Joaquin, Madera, Merced, San Luis Obispo, Shasta, Placer, Sacramento, Monterey, Marin, Santa Barbara, Los Angeles, Solano, San Francisco, Nevada, Tulare, San Diego",http://www.autobusesamericanos.us/,,,,
Marguerite Shuttle,,,,,,,,Stanford,Santa Clara,http://transportation.stanford.edu/marguerite/,https://transitfeeds.com/p/stanford-marguerite-shuttle/736/latest/download,,,
Calaveras Transit,9R02-91063,0,11,0,39188,0,87175,San Andreas,Calaveras,http://calaverastransit.com/,https://transitfeeds.com/p/calaveras-transit/399/latest/download,,,
Foothill Gold Line,,,,,,,,Monrovia,"Los Angeles, San Bernardino",https://foothillgoldline.org/,,,,
Artesia Express Dial-A-Ride,90300,5,0,9753,0,0,0,Artesia,Los Angeles,http://www.cityofartesia.us/index.aspx?nid=189,,,,
Blue Lake Rancheria,99292,0,1,0,13182,0,14878,Blue Lake,Humboldt,https://bluelakerancheria-nsn.gov/initiatives/transportation/,https://transitfeeds.com/p/blue-lake-rancheria-transit-system/1142/latest/download,,,
Mission City Transit,,,,,,,,San Fernando,Los Angeles,http://ci.san-fernando.ca.us/recreation-community-services/programs/mission-city-transit/,,,,
South Pasadena Dial-A-Ride,90292,5,0,9703,0,4419,0,South Pasadena,Los Angeles,http://www.southpasadenaca.gov/index.aspx?page=104,,,,
SolTrans,90232,41,82,29527,1347760,45124,3258212,Vallejo,"Solano, Contra Costa",http://www.soltransride.com/,https://transitfeeds.com/p/soltrans/666/latest/download,,,
Paramount Transportation,,,,,,,,Paramount,San Diego,http://www.paramountcity.com/community/transit-services,,,,
Arcata & Mad River Transit System,9R02-91018,0,3,0,215244,0,230941,Arcata,Humboldt,https://hta.org/agencies/arcata-and-mad-river/,,,,
Pleasanton Paratransit Service,,,,,,,,Pleasanton,Alameda,https://www.cityofpleasantonca.gov/gov/depts/cs/senior/transit.asp,,,,
Chumash Casino Shuttle Bus,,,,,,,,Chumash,Santa Barbara,https://chumashcasino.com/shuttle-schedule,,,,
"Paratransit, Inc.",90223,411,0,413386,0,1858768,0,Sacramento,"Sacramento, Stanislaus",http://www.paratransit.org/,,,,
Santa Fe Springs Transit,90290,2,0,6483,0,0,0,Santa Fe Springs,Los Angeles,https://www.santafesprings.org/cityhall/transportation_services/default.asp,,,,
SunLine Transit Agency,90079,96,96,156292,3947023,325536,2574580,Thousand Palms,Riverside,http://www.sunline.org/,https://transitfeeds.com/p/sunline-transit-agency/348/latest/download,,,
TRACER,90197,13,13,19188,148514,27287,89096,Tracy,San Joaquin,https://www.ci.tracy.ca.us/?navid=193,,,,
Unitrans,90142,0,35,0,4021956,0,3267620,Davis,Yolo,http://www.unitrans.com/,https://transitfeeds.com/p/unitrans/301/latest/download,,,
San Clemente Trolley,,,,,,,,San Clemente,Orange,https://www.san-clemente.org/recreation-community/beaches/san-clemente-trolley,,,,
Shasta Regional Transit Agency,,,,,,,,Redding,Shasta,https://www.srta.ca.gov/,,,,
Sonoma-Marin Area Rail Transit,90299,0,11,0,636029,0,3315274,Petaluma,"Sonoma, Marin",www.sonomamarintrain.org,https://transitfeeds.com/p/sonoma-marin-area-rail-transit/1050/latest/download,,,
Santa Cruz Metropolitan Transit District,90006,105,210,72209,5048512,287363,9469559,Santa Cruz,Santa Cruz,http://www.scmtd.com/,https://transitfeeds.com/p/santa-cruz-metro/343/latest/download,,,
Thousand Oaks Transit,90165,28,28,90442,159398,276198,151468,Thousand Oaks,Ventura,https://www.toaks.org/departments/public-works/transit,https://transitfeeds.com/p/thousand-oaks-transit/685/latest/download,,,
Riverside County Transportation Commission,,,,,,,,Riverside,Riverside,http://www.rctc.org/,,,,
Tahoe Truckee Area Regional Transportation,,,,,,,,Truckee,"Nevada, Placer",https://tahoetruckeetransit.com/,https://transitfeeds.com/p/tahoe-area-regional-transit/389/latest/download,,,
Chowchilla Area Transit,9R02-91071,2,0,15337,0,20489,0,Chowchilla,Madera,https://cityofchowchilla.org/223/Chowchilla-Area-Transit-CATX,,,,
Whittier Dial-A-Ride,90295,12,0,66420,0,27225,0,Whittier,Los Angeles,https://www.whittierprcs.org/transit/dial-a-ride-and-dar-plus,,,,
OmniTrans,90029,250,500,378087,10832159,1511449,11249865,San Bernardino,San Bernardino,http://www.omnitrans.org/,https://transitfeeds.com/p/omnitrans/304/latest/download,,,
Bear Transit,,,,,,,,Berkeley,Alameda,https://pt.berkeley.edu/transportation-options/campus-shuttles,,,,
Beaumont Pass Transit,,,,,,,,Beaumont,Riverside,https://beaumontca.gov/index.aspx?NID=160,https://transitfeeds.com/p/pass-transit/391/latest/download,,,
Ontario International Airport,,,,,,,,Ontario,San Bernardino,https://www.flyontario.com/,,,,
Riverside Special Transportation,90086,27,0,153559,0,442655,0,Riverside,Riverside,https://www.riversideca.gov/park_rec/programs-sports/seniors/special-transportation-seniors-and-disabled,,,,
Vacaville City Coach,90155,15,15,15527,405254,31395,344352,Vacaville,Solano,http://www.citycoach.com/,https://transitfeeds.com/p/city-coach/1141/latest/download,,,
GET Bus,90004,87,87,58241,6377043,156246,4319308,Bakersfield,Kern,http://www.getbus.org/,,,,
San Diego Association of Governments,,,,,,,,San Diego,San Diego,http://www.sandag.org/,,,,
Orange County Transportation Authority,90036,2990,5980,1647378,39272746,7140938,41916868,Orange,Orange,http://www.octa.net/,https://transitfeeds.com/p/orange-county-transportation-authority/197/latest/download,http://api.octa.net/GTFSRealTime/protoBuf/servicealerts.aspx,http://api.octa.net/GTFSRealTime/protoBuf/tripupdates.aspx,http://api.octa.net/GTFSRealTime/protoBuf/VehiclePositions.aspx
McFarland City Transit Bus,9R02-91110,2,0,11880,0,15037,0,McFarland,Kern,https://www.mcfarlandcity.org/269/Transportation,,,,
Alhambra Community Transit,90247,15,15,37869,444146,0,103470,Alhambra,Los Angeles,https://www.cityofalhambra.org/resources/public-transportation,,,,
Avocado Heights/Bassett/West Valinda Shuttle,90270,0,1,0,36766,0,6823,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/AvoBasWVShuttle.aspx,,,,
Anaheim Resort Transportation,90211,0,77,0,9631356,0,4540921,Anaheim,Orange,http://www.rideart.org/,https://transitfeeds.com/p/anaheim-resort-transportation/410/latest/download,,,
Butte County Association of Governments,90208,48,48,168449,1079218,377085,1241356,Chico,Butte,http://www.bcag.org/,,,,
Tuolumne County Transit,9R02-91057,20,20,35198,67126,94379,101826,Sonora,Tuolumne,http://www.tuolumnecountytransit.com/,,,,
Tehama Rural Area eXpress,9R02-91089,12,12,16281,76595,33363,72827,Red Bluff,Tehama,http://www.taketrax.com/,https://transitfeeds.com/p/tehama-rural-area-express/494/latest/download,,,
Arvin Transit,9R02-91027,6,6,8412,72194,6628,76392,Arvin,Kern,https://www.arvin.org/government/transportation/,,,,
Kern Transit,9R02-91059,45,45,89028,300723,156561,748492,Bakersfield,Kern,http://kerntransit.org/,,,,
AC Transit,90014,794,2382,770782,52019068,2917515,66134484,Oakland,"Alameda, Contra Costa",http://www.actransit.org/,https://transitfeeds.com/p/ac-transit/1269/latest/download,,,
Tideline,,,,,,,,Tiburon,San Francisco,https://tidelinetickets.com/,https://transitfeeds.com/p/tideline-water-taxi/756/latest/download,,,
Mendocino Transit Authority,9R02-91047,23,23,45717,282669,103547,499202,Ukiah AND Fort Bragg,Mendocino,http://www.mendocinotransit.org,https://transitfeeds.com/p/mendocino-transit-authority/205/latest/download,,,
Torrance Transit System,90010,84,84,63539,3712548,102590,2442015,Torrance,Los Angeles,http://Transit.TorranceCA.Gov/,https://transitfeeds.com/p/city-of-torrance/388/latest/download,,,
Antelope Valley Transit Authority,90121,74,148,46745,2442282,115050,4866537,Lancaster,Los Angeles,http://www.avta.com/,,,,
Marin Transit,90234,85,85,98068,3001619,150727,3227240,San Rafael,Marin,http://marintransit.org/,https://transitfeeds.com/p/marin-transit/345/latest/download,,,
Banning Pass Transit,,,,,,,,Banning,Riverside,http://banning.ca.us/351/Bus-Schedules,,,,
San Bernardino County Transportation Authority,,,,,,,,San Bernardino,San Bernardino,http://gosbcta.com/,,,,
Victor Valley Transit,90148,302,604,182765,1515594,544512,2217087,Hesperia,San Bernardino,http://www.vvta.org/,https://transitfeeds.com/p/victor-valley-transit-authority/350/latest/download,,,
Mountain Transit,9R02-91012,11,22,18759,160481,65388,305927,Big Bear Lake,San Bernardino,http://mountaintransit.org/,https://transitfeeds.com/p/mountain-transit/600/latest/download,,,
Riverside Transit Agency,90031,586,1172,415902,8167508,1505152,9207788,Riverside,Riverside,http://www.riversidetransit.com/,https://transitfeeds.com/p/riverside-transit-agency/531/latest/download,https://rtabus.com/gtfsrt/alerts,https://rtabus.com/gtfsrt/trips,https://rtabus.com/gtfsrt/vehicles
Turlock Transit,90201,10,10,11279,144918,21507,208154,Turlock,Stanislaus,www.turlocktransit.com,,,,
Imperial Valley Transit,90226,28,28,37585,774947,102122,634555,El Centro,Imperial,http://www.ivtransit.com/,,,,
Amtrak,,,,,,,,Sacramento,"Sacramento, Orange, Contra Costa, Placer, Kern, San Bernardino, Alameda, Los Angeles, Ventura, Santa Barbara, Butte, Kings, Yolo, Siskiyou, Solano, Fresno, San Luis Obispo, San Joaquin, Madera, Merced, Stanislaus, San Diego, Riverside, Shasta, Monterey, Nevada, ",http://www.amtrak.com/home,,,,
Commerce Municipal Bus Lines,90043,14,14,9086,500498,0,0,Commerce,Los Angeles,http://ci.commerce.ca.us/index.aspx?NID=90,,,,
Placer County Transit,90196,76,114,31523,731305,27934,1037785,Auburn,Placer,https://www.placer.ca.gov/1768/Placer-County-Transit,https://transitfeeds.com/p/placer-county-transit/1140/latest/download,,,
Fresno Area Express,90027,150,150,213026,9750802,294817,6068176,Fresno,Fresno,http://www.fresno.gov/fax/,https://transitfeeds.com/p/fresno-area-express/315/latest/download,,,
Paso Express,90194,3,0,12826,0,37499,0,San Luis Obispo,San Luis Obispo,http://www.slorta.org/schedules-fares/paso-express/,,,,
Glenn Transit Service,9R02-91088,4,4,2076,38064,6547,79634,Willows,Glenn,https://www.countyofglenn.net/dept/public-works/public-transit-transportation/welcome,,,,
City of Lompoc Transit,90149,23,46,8863,163725,26280,574285,Lompoc,Santa Barbara,http://www.cityoflompoc.com/transit/,,,,
Marin Airporter,,,,,,,,San Rafael,Marin,http://www.marinairporter.com/,,,,
Vine Transit,90088,41,82,99575,1000202,277092,956349,Napa,"Napa, Solano, Contra Costa",http://www.ridethevine.com/,https://transitfeeds.com/p/napa-vine/1268/latest/download,,,
Monument Community Shuttle,,,,,,,,Concord,Contra Costa,http://monumentimpact.org/en/resident-engagement/monument-community-shuttle/,,,,
Needles Area Transit,9R02-91020,0,1,0,23780,0,36342,Needles,San Bernardino,http://www.cityofneedles.com/transit/,,,,
Cuyama Transit,,,,,,,,Cuyama,Santa Barbara,https://www.transit.wiki/Cuyama_Transit,,,,
South County Area Transit,,,,,,,,San Luis Obispo,San Luis Obispo,http://www.slorta.org/about-rta/south-county-transit-sct/,,,,
the Link-Athens,90269,0,1,0,67608,0,8994,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkAthens.aspx,,,,
Baldwin Park Transit,90251,6,6,13559,112340,3921,61946,Baldwin Park,Los Angeles,https://www.baldwinpark.com/public-transit,,,,
Sage Stage,9R02-91008,3,3,10765,2486,12765,45368,Alturas,Modoc,http://sagestage.com/,https://transitfeeds.com/p/sage-stage/479/latest/download,,,
Metrolink,90151,0,195,0,14190870,0,82698139,Los Angeles,Los Angeles,http://www.metrolinktrains.com/,https://transitfeeds.com/p/metrolink/332/latest/download,,,
Madera County Connection,9R02-91005,6,6,4504,26532,8713,43170,Madera,Madera,http://mcctransit.com/,https://transitfeeds.com/p/madera-county-transit/415/latest/download,,,
Culver CityBus,90039,46,46,8727,4864138,3453,3041100,Culver City,Los Angeles,https://www.culvercity.org/how-do-i/find/culver-city-bus/,https://transitfeeds.com/p/culver-city-bus/1057/latest/download,,,
Grapeline,90175,16,16,31163,270503,62356,164129,Lodi,San Joaquin,http://www.lodi.gov/469/Transit,https://transitfeeds.com/p/city-of-lodi-grapeline/711/latest/download,,,
Cerritos on Wheels,90259,16,16,20336,116685,20637,56390,Cerritos,Los Angeles,http://www.cerritos.us/RESIDENTS/transportation.php,,,,
San Joaquin Valley Regional Planning Agencies Policy Council,,,,,,,,Madera,"San Joaquin, Fresno, Kern, Kings, Madera, Merced, Stanislaus, Tulare",http://sjvcogs.org,,,,
Compton Renaissance Transit Service,90260,7,7,5972,80900,1985,44379,Compton,Los Angeles,http://www.comptoncity.org/visitors/cpttrans.asp,,,,
Yuba-Sutter Transit Authority,90061,34,68,72073,950563,131685,1069858,Marysville,"Yuba, Sutter",http://www.yubasuttertransit.com/,https://transitfeeds.com/p/yuba-sutter-transit/154,,,
the Link Florence-Firestone/Walnut Park,90273,0,2,0,227718,0,33596,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkFlorenceFirestone.aspx,,,,
La Canada Flintridge Shuttle & Dial-a-Ride,,,,,,,,La Canada Flintridge,Los Angeles,https://cityoflcf.org/live-well/transportation/,,,,
Dumbarton Express,,,,,,,,Oakland,"Alameda, San Mateo, Santa Clara",https://dumbartonexpress.com/,,,,
Cloverdale Transit,,,,,,,,Cloverdale,Sonoma,http://www.cloverdale.net/index.aspx?nid=267,,,,
Clovis Transit System,,,,,,,,Clovis,Fresno,https://cityofclovis.com/general-services/transit/,https://transitfeeds.com/p/clovis-transit/1249/latest/download,,,
Dana Point Trolley,,,,,,,,Dana Point,Orange,https://visitdanapoint.com/dana-point-trolley/,,,,
La Puente LINK,,,,,,,,La Puente,Los Angeles,http://www.lapuente.org/how-do-i-/find/transit-services,,,,
Walnut Way Dial-a-Cab,,,,,,,,Walnut,Los Angeles,http://www.cityofwalnut.org/for-residents/community-resources/transportation/dial-a-cab,,,,
Taft Area Transit,9R02-91066,4,0,33734,0,50079,0,Taft,Kern,http://www.cityoftaft.org/pView.aspx?id=5385&catid=562,,,,
Disneyland Resort Express,,,,,,,,Anaheim,Orange,https://dre.coachusa.com/,,,,
